From,To,Distance_km,From_latlon,To_latlon
MM BINH PHU,MM HA DONG,1140.2,"10.74533, 106.63228","20.96653, 105.77482"
MM BINH PHU,MM HA LONG,1137.1,"10.74533, 106.63228","20.95880, 107.15422"
MM BINH PHU,MM HIEP PHU,13.6,"10.74533, 106.63228","10.86690, 106.64185"
MM BINH PHU,MM HOANG MAI,1139.3,"10.74533, 106.63228","20.96410, 105.85900"
MM BINH PHU,MM HONG BANG,1125.2,"10.74533, 106.63228","20.86481, 106.68345"
MM BINH PHU,MM HUNG LOI,124.7,"10.74533, 106.63228","10.01717, 105.76537"
MM BINH PHU,MM LONG XUYEN,136.2,"10.74533, 106.63228","10.37043, 105.44585"
MM BINH PHU,MM NHA TRANG,320.0,"10.74533, 106.63228","12.25744, 109.13105"
MM BINH PHU,MM QUY NHON,435.7,"10.74533, 106.63228","13.74464, 109.21225"
MM BINH PHU,MM RACH GIA,188.2,"10.74533, 106.63228","10.01250, 105.08090"
MM BINH PHU,MM THANG LONG,1149.9,"10.74533, 106.63228","21.05450, 105.78230"
MM BINH PHU,MM THANH XUAN,1142.9,"10.74533, 106.63228","20.99585, 105.84034"
MM BINH PHU,MM VINH,886.0,"10.74533, 106.63228","18.66290, 105.70407"
MM BINH PHU,MM VUNG TAU,66.4,"10.74533, 106.63228","10.34599, 107.08426"
MM BUON MA THUOT,South Ambient DC,246.4,"12.69771, 108.07174","10.89750, 106.75110"
MM BUON MA THUOT,MM AN PHU,256.5,"12.69771, 108.07174","10.79142, 106.74578"
MM BUON MA THUOT,MM BIEN HOA,237.3,"12.69771, 108.07174","10.95592, 106.81199"
MM BUON MA THUOT,MM BINH DUONG,245.6,"12.69771, 108.07174","10.98040, 106.65190"
MM BUON MA THUOT,MM BINH PHU,267.7,"12.69771, 108.07174","10.74533, 106.63228"
MM BUON MA THUOT,MM BUON MA THUOT,0.0,"12.69771, 108.07174","12.69771, 108.07174"
MM BUON MA THUOT,MM DA NANG,375.1,"12.69771, 108.07174","16.06778, 108.22083"
MM BUON MA THUOT,MM HA DONG,951.3,"12.69771, 108.07174","20.96653, 105.77482"
MM BUON MA THUOT,MM HA LONG,923.8,"12.69771, 108.07174","20.95880, 107.15422"
MM BUON MA THUOT,MM HIEP PHU,256.3,"12.69771, 108.07174","10.86690, 106.64185"
MM BUON MA THUOT,MM HOANG MAI,948.8,"12.69771, 108.07174","20.96410, 105.85900"
MM BUON MA THUOT,MM HONG BANG,920.1,"12.69771, 108.07174","20.86481, 106.68345"
MM BUON MA THUOT,MM HUNG LOI,389.9,"12.69771, 108.07174","10.01717, 105.76537"
MM BUON MA THUOT,MM LONG XUYEN,385.7,"12.69771, 108.07174","10.37043, 105.44585"
MM BUON MA THUOT,MM NHA TRANG,125.0,"12.69771, 108.07174","12.25744, 109.13105"
MM BUON MA THUOT,MM QUY NHON,169.7,"12.69771, 108.07174","13.74464, 109.21225"
MM BUON MA THUOT,MM RACH GIA,442.1,"12.69771, 108.07174","10.01250, 105.08090"
MM BUON MA THUOT,MM THANG LONG,960.6,"12.69771, 108.07174","21.05450, 105.78230"
MM BUON MA THUOT,MM THANH XUAN,952.7,"12.69771, 108.07174","20.99585, 105.84034"
MM BUON MA THUOT,MM VINH,710.0,"12.69771, 108.07174","18.66290, 105.70407"
MM BUON MA THUOT,MM VUNG TAU,282.8,"12.69771, 108.07174","10.34599, 107.08426"
MM DA NANG,South Ambient DC,596.5,"16.06778, 108.22083","10.89750, 106.75110"
MM DA NANG,MM AN PHU,608.0,"16.06778, 108.22083","10.79142, 106.74578"
MM DA NANG,MM BIEN HOA,588.5,"16.06778, 108.22083","10.95592, 106.81199"
MM DA NANG,MM BINH DUONG,590.6,"16.06778, 108.22083","10.98040, 106.65190"
MM DA NANG,MM BINH PHU,616.2,"16.06778, 108.22083","10.74533, 106.63228"
MM DA NANG,MM BUON MA THUOT,375.1,"16.06778, 108.22083","12.69771, 108.07174"
MM DA NANG,MM DA NANG,0.0,"16.06778, 108.22083","16.06778, 108.22083"
MM DA NANG,MM HA DONG,602.6,"16.06778, 108.22083","20.96653, 105.77482"
MM DA NANG,MM HA LONG,555.4,"16.06778, 108.22083","20.95880, 107.15422"
MM DA NANG,MM HIEP PHU,603.0,"16.06778, 108.22083","10.86690, 106.64185"
MM DA NANG,MM HOANG MAI,598.7,"16.06778, 108.22083","20.96410, 105.85900"
MM DA NANG,MM HONG BANG,557.5,"16.06778, 108.22083","20.86481, 106.68345"
MM DA NANG,MM HUNG LOI,723.4,"16.06778, 108.22083","10.01717, 105.76537"
MM DA NANG,MM LONG XUYEN,701.1,"16.06778, 108.22083","10.37043, 105.44585"
MM DA NANG,MM NHA TRANG,434.9,"16.06778, 108.22083","12.25744, 109.13105"
MM DA NANG,MM QUY NHON,279.4,"16.06778, 108.22083","13.74464, 109.21225"
MM DA NANG,MM RACH GIA,754.3,"16.06778, 108.22083","10.01250, 105.08090"
MM DA NANG,MM THANG LONG,611.1,"16.06778, 108.22083","21.05450, 105.78230"
MM DA NANG,MM THANH XUAN,602.7,"16.06778, 108.22083","20.99585, 105.84034"
MM DA NANG,MM VINH,393.2,"16.06778, 108.22083","18.66290, 105.70407"
MM DA NANG,MM VUNG TAU,648.0,"16.06778, 108.22083","10.34599, 107.08426"
MM HA DONG,South Ambient DC,1124.5,"20.96653, 105.77482","10.89750, 106.75110"
MM HA DONG,MM AN PHU,1136.2,"20.96653, 105.77482","10.79142, 106.74578"
MM HA DONG,MM BIEN HOA,1118.6,"20.96653, 105.77482","10.95592, 106.81199"
MM HA DONG,MM BINH DUONG,1114.3,"20.96653, 105.77482","10.98040, 106.65190"
MM HA DONG,MM BINH PHU,1140.2,"20.96653, 105.77482","10.74533, 106.63228"
MM HA DONG,MM BUON MA THUOT,951.3,"20.96653, 105.77482","12.69771, 108.07174"
MM HA DONG,MM DA NANG,602.6,"20.96653, 105.77482","16.06778, 108.22083"
MM HA DONG,MM HA DONG,0.0,"20.96653, 105.77482","20.96653, 105.77482"
MM HA DONG,MM HA LONG,143.2,"20.96653, 105.77482","20.95880, 107.15422"
MM HA DONG,MM HIEP PHU,1126.8,"20.96653, 105.77482","10.86690, 106.64185"
MM HA DONG,MM HOANG MAI,8.7,"20.96653, 105.77482","20.96410, 105.85900"
MM HA DONG,MM HONG BANG,95.1,"20.96653, 105.77482","20.86481, 106.68345"
MM HA DONG,MM HUNG LOI,1217.5,"20.96653, 105.77482","10.01717, 105.76537"
MM HA DONG,MM LONG XUYEN,1178.8,"20.96653, 105.77482","10.37043, 105.44585"
MM HA DONG,MM NHA TRANG,1032.2,"20.96653, 105.77482","12.25744, 109.13105"
MM HA DONG,MM QUY NHON,881.9,"20.96653, 105.77482","13.74464, 109.21225"
MM HA DONG,MM RACH GIA,1220.3,"20.96653, 105.77482","10.01250, 105.08090"
MM HA DONG,MM THANG LONG,9.8,"20.96653, 105.77482","21.05450, 105.78230"
MM HA DONG,MM THANH XUAN,7.5,"20.96653, 105.77482","20.99585, 105.84034"
MM HA DONG,MM VINH,256.3,"20.96653, 105.77482","18.66290, 105.70407"
MM HA DONG,MM VUNG TAU,1189.2,"20.96653, 105.77482","10.34599, 107.08426"
MM HA LONG,South Ambient DC,1119.6,"20.95880, 107.15422","10.89750, 106.75110"
MM HA LONG,MM AN PHU,1131.4,"20.95880, 107.15422","10.79142, 106.74578"
MM HA LONG,MM BIEN HOA,1112.9,"20.95880, 107.15422","10.95592, 106.81199"
MM HA LONG,MM BINH DUONG,1110.8,"20.95880, 107.15422","10.98040, 106.65190"
MM HA LONG,MM BINH PHU,1137.1,"20.95880, 107.15422","10.74533, 106.63228"
MM HA LONG,MM BUON MA THUOT,923.8,"20.95880, 107.15422","12.69771, 108.07174"
MM HA LONG,MM DA NANG,555.4,"20.95880, 107.15422","16.06778, 108.22083"
MM HA LONG,MM HA DONG,143.2,"20.95880, 107.15422","20.96653, 105.77482"
MM HA LONG,MM HA LONG,0.0,"20.95880, 107.15422","20.95880, 107.15422"
MM HA LONG,MM HIEP PHU,1123.5,"20.95880, 107.15422","10.86690, 106.64185"
MM HA LONG,MM HOANG MAI,134.5,"20.95880, 107.15422","20.96410, 105.85900"
MM HA LONG,MM HONG BANG,50.0,"20.95880, 107.15422","20.86481, 106.68345"
MM HA LONG,MM HUNG LOI,1225.7,"20.95880, 107.15422","10.01717, 105.76537"
MM HA LONG,MM LONG XUYEN,1191.4,"20.95880, 107.15422","10.37043, 105.44585"
MM HA LONG,MM NHA TRANG,990.2,"20.95880, 107.15422","12.25744, 109.13105"
MM HA LONG,MM QUY NHON,831.3,"20.95880, 107.15422","13.74464, 109.21225"
MM HA LONG,MM RACH GIA,1237.2,"20.95880, 107.15422","10.01250, 105.08090"
MM HA LONG,MM THANG LONG,142.8,"20.95880, 107.15422","21.05450, 105.78230"
MM HA LONG,MM THANH XUAN,136.5,"20.95880, 107.15422","20.99585, 105.84034"
