variant,run_label,source_instance,dataset_id,scenario_id,seed,benchmark_mode,rmp_objective,realized_cost_no_lt,realized_cost_with_lt,final_objective_or_total_cost,lt_cost_with_lt,shortage_cost_with_lt,cg_iterations,stopping_reason,total_runtime_seconds,variant_runtime_seconds,shared_baseline_runtime_seconds,total_runtime_with_shared_baseline_seconds,phase1_baseline_runtime_seconds,phase2_cg_runtime_seconds,gnn_inference_runtime_seconds,post_run_fine_tune_runtime_seconds,columns_generated,columns_selected_by_gnn,columns_added_to_rmp,column_pool_utilization,gnn_scoring_failures,repeat,shock_world_id,window_id,shock_seed,window_start_period,window_end_period,window_n_periods,baseline_cache_path,cached_baseline_runtime_seconds,a0_exact_pricing_time_limit
A0_cg_full_exact,A0_cg_full_exact__shock03_window01,,,shock03_window01,20056,sliced_cg_only_cached_baseline,2461700184.7296443,234244927.0448,221300859.604948,221300859.604948,4173.376148,575369.8,42,convergence_no_negative_rc,3.5575626370000464,3.5575626370000464,0.0,3.5575626370000464,691.1348897149999,0.010725975036621094,0.0,0.0,170,170,164,0.5051124744376279,0,21,3,1,20056,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window02,,,shock03_window02,20056,sliced_cg_only_cached_baseline,2442891695.950529,253104152.376,218100358.535839,218100358.535839,8405.343839,2996217.2,43,convergence_no_negative_rc,4.4679230489998645,4.4679230489998645,0.0,4.4679230489998645,691.1348897149999,0.020030736923217773,0.0,0.0,268,268,268,0.5925925925925926,0,22,3,2,20056,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window03,,,shock03_window03,20056,sliced_cg_only_cached_baseline,2441256953.835559,259490320.492,223149696.8266,223149696.8266,8991.9426,10111209.4,44,convergence_no_negative_rc,4.899327460999984,4.899327460999984,0.0,4.899327460999984,691.1348897149999,0.028635025024414062,0.0,0.0,287,287,287,0.6206896551724138,0,23,3,3,20056,39,57,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window04,,,shock03_window04,20056,sliced_cg_only_cached_baseline,2440523537.894503,245937994.872,213674220.359521,213674220.359521,9033.807521,1425387.0,44,convergence_no_negative_rc,4.597648860999925,4.597648860999925,0.0,4.597648860999925,691.1348897149999,0.013979911804199219,0.0,0.0,260,260,260,0.6283582089552239,0,24,3,4,20056,58,76,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window05,,,shock03_window05,20056,sliced_cg_only_cached_baseline,2462708703.554767,310033379.46,251052936.095324,251052936.095324,12516.395324,38885022.0,43,convergence_no_negative_rc,5.701280624999981,5.701280624999981,0.0,5.701280624999981,691.1348897149999,0.028291702270507812,0.0,0.0,360,360,360,0.615568862275449,0,25,3,5,20056,77,95,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window06,,,shock03_window06,20056,sliced_cg_only_cached_baseline,2434055930.5045977,256215579.668,213349623.126571,213349623.126571,10001.306571,3066351.2,43,convergence_no_negative_rc,5.39450163499987,5.39450163499987,0.0,5.39450163499987,691.1348897149999,0.025281667709350586,0.0,0.0,370,370,316,0.640960809102402,0,26,3,6,20056,96,114,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window07,,,shock03_window07,20056,sliced_cg_only_cached_baseline,2432347984.1179667,276906776.032,222261511.363814,222261511.363814,12784.691814,12373479.6,43,convergence_no_negative_rc,5.448892565000278,5.448892565000278,0.0,5.448892565000278,691.1348897149999,0.02781987190246582,0.0,0.0,399,399,361,0.6291866028708134,0,27,3,7,20056,115,133,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window08,,,shock03_window08,20056,sliced_cg_only_cached_baseline,2417968919.7783933,267378626.896,213567519.946519,213567519.946519,13561.354519,2496794.8,42,convergence_no_negative_rc,4.877534834000016,4.877534834000016,0.0,4.877534834000016,691.1348897149999,0.016829252243041992,0.0,0.0,379,379,358,0.6794717887154862,0,28,3,8,20056,134,152,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window09,,,shock03_window09,20056,sliced_cg_only_cached_baseline,2398335925.272508,309486866.616,223158101.614623,223158101.614623,19395.806623,10732354.4,43,convergence_no_negative_rc,5.703939204000108,5.703939204000108,0.0,5.703939204000108,691.1348897149999,0.027040958404541016,0.0,0.0,470,470,410,0.6689265536723163,0,29,3,9,20056,153,171,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock03_window10,,,shock03_window10,20056,sliced_cg_only_cached_baseline,2452920099.143086,131397726.192,111079190.181989,111079190.181989,4848.589989,466400.0,42,convergence_no_negative_rc,3.0084311400000843,3.0084311400000843,0.0,3.0084311400000843,691.1348897149999,0.00889730453491211,0.0,0.0,157,157,157,0.5798525798525799,0,30,3,10,20056,172,181,10,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window01,,,shock04_window01,30063,sliced_cg_only_cached_baseline,2461721504.990385,234203375.1248,221300320.636596,221300320.636596,4170.023796,582787.4,42,convergence_no_negative_rc,3.6954368570000042,3.6954368570000042,0.0,3.6954368570000042,691.1348897149999,0.011714935302734375,0.0,0.0,191,191,170,0.503030303030303,0,31,4,1,30063,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window02,,,shock04_window02,30063,sliced_cg_only_cached_baseline,2443189366.982551,253024629.272,217941643.879784,217941643.879784,8365.655784,2836582.6,42,convergence_no_negative_rc,4.328093271999933,4.328093271999933,0.0,4.328093271999933,691.1348897149999,0.015579938888549805,0.0,0.0,297,297,269,0.5870570107858244,0,32,4,2,30063,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
