store,sku,period,predicted_end_qty
MM DA NANG,GIFT SET ORION AN 2 890.6G,45,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,46,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,1,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,2,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,3,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,4,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,5,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,6,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,7,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,8,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,9,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,10,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,11,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,12,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,13,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,14,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,15,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,16,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,17,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,18,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,19,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,20,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,21,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,22,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,23,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,24,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,25,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,26,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,27,4.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,28,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,29,2.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,30,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,31,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,32,4.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,33,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,34,28.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,35,22.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,36,17.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,37,4.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,38,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,39,16.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,40,13.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,41,5.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,42,0.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,43,15.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,44,10.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,45,3.0
MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,46,0.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,1,3088.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,2,3049.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,3,2615.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,4,2616.0
